case_no,cluster_file,opinion_file,date,judges,citation_id,reporter_number,is_clean
95797,TRUE,TRUE,2/23/1903,Brewer After Making the Foregoing Statement,80180,188 U.S. 505,FALSE
95796,TRUE,TRUE,2/23/1903,Brewer After Making the Foregoing Statement,80179,188 U.S. 491,FALSE
95795,TRUE,TRUE,10/20/1902,,80178,188 U.S. 486,FALSE
95793,TRUE,TRUE,2/23/1903,Brewer After Making the Foregoing Statement,80176,188 U.S. 445,FALSE
136799,TRUE,TRUE,6/1/2004,,121152,541 U.S. 1081,FALSE
126823,TRUE,TRUE,1/21/2003,,111176,537 U.S. 1162,FALSE
114228,TRUE,TRUE,10/4/1993,,98587,510 U.S. 902,FALSE
107949,TRUE,TRUE,6/2/1969,Warren,92308,395 U.S. 213,FALSE
87998,TRUE,TRUE,2/18/1869,Swayne Stated the Case And,57236,74 U.S. 196,FALSE
144470,TRUE,TRUE,5/2/2005,,128822,544 U.S. 1022,FALSE
124353,TRUE,TRUE,10/15/2002,,108706,537 U.S. 960,FALSE
124352,TRUE,TRUE,10/15/2002,,108705,537 U.S. 960,FALSE
124351,TRUE,TRUE,10/15/2002,,108704,537 U.S. 959,FALSE
124350,TRUE,TRUE,10/15/2002,,108703,537 U.S. 959,FALSE
124357,TRUE,TRUE,10/15/2002,,108710,537 U.S. 960,FALSE
124356,TRUE,TRUE,10/15/2002,,108709,537 U.S. 960,FALSE
124355,TRUE,TRUE,10/15/2002,,108708,537 U.S. 960,FALSE
124354,TRUE,TRUE,10/15/2002,,108707,537 U.S. 960,FALSE
124359,TRUE,TRUE,10/15/2002,,108712,537 U.S. 960,FALSE
124358,TRUE,TRUE,10/15/2002,,108711,537 U.S. 960,FALSE
104434,TRUE,TRUE,6/2/1947,Black,88817,331 U.S. 461,FALSE
106477,TRUE,TRUE,10/8/1962,Per Curiam,90860,371 U.S. 17,FALSE
125400,TRUE,TRUE,12/2/2002,,109753,537 U.S. 1050,FALSE
125401,TRUE,TRUE,12/2/2002,,109754,537 U.S. 1050,FALSE
139679,TRUE,TRUE,10/18/2004,,124032,543 U.S. 948,FALSE
125403,TRUE,TRUE,12/2/2002,,109756,537 U.S. 1050,FALSE
125404,TRUE,TRUE,12/2/2002,,109757,537 U.S. 1050,FALSE
125405,TRUE,TRUE,12/2/2002,,109758,537 U.S. 1050,FALSE
125406,TRUE,TRUE,12/2/2002,,109759,537 U.S. 1050,FALSE
125407,TRUE,TRUE,12/2/2002,,109760,537 U.S. 1050,FALSE
125408,TRUE,TRUE,12/2/2002,,109761,537 U.S. 1050,FALSE
125409,TRUE,TRUE,12/2/2002,,109762,537 U.S. 1050,FALSE
97029,TRUE,TRUE,5/17/1909,Brewer,81412,214 U.S. 9,FALSE
96135,TRUE,TRUE,11/7/1904,Harlan,80518,195 U.S. 172,FALSE
133441,TRUE,TRUE,10/20/2003,,117794,540 U.S. 976,FALSE
90311,TRUE,TRUE,2/28/1881,Miller After Stating the Case,74691,103 U.S. 168,FALSE
90313,TRUE,TRUE,4/25/1881,Miller,74693,103 U.S. 217,FALSE
90316,TRUE,TRUE,2/28/1881,Waite,74696,103 U.S. 238,FALSE
90317,TRUE,TRUE,1/31/1881,Bradley,74697,103 U.S. 239,FALSE
134808,TRUE,TRUE,3/8/2004,,119161,541 U.S. 905,FALSE
87659,TRUE,TRUE,2/13/1865,Wayne Having Stated the Pleadings,56395,69 U.S. 423,FALSE
134809,TRUE,TRUE,3/8/2004,,119162,541 U.S. 905,FALSE
87658,TRUE,TRUE,3/10/1865,,56393,69 U.S. 404,FALSE
97027,TRUE,TRUE,5/3/1909,Moody,81410,213 U.S. 458,FALSE
115593,TRUE,TRUE,12/6/1993,,99952,510 U.S. 1010,FALSE
112958,TRUE,TRUE,10/4/1993,,97317,510 U.S. 805,FALSE
103541,TRUE,TRUE,10/13/1941,,87924,313 U.S. 450,FALSE
99606,TRUE,TRUE,6/1/1920,,83989,253 U.S. 219,FALSE
2365283,TRUE,TRUE,5/22/1944,Murphy,2338055,322 U.S. 408,FALSE
103540,TRUE,TRUE,5/26/1941,Murphy,87923,313 U.S. 443,FALSE
112951,TRUE,TRUE,10/4/1993,,97310,510 U.S. 804,FALSE
112952,TRUE,TRUE,10/4/1993,,97311,510 U.S. 805,FALSE
112954,TRUE,TRUE,10/4/1993,,97313,510 U.S. 805,FALSE
112956,TRUE,TRUE,10/4/1993,,97315,510 U.S. 805,FALSE
112957,TRUE,TRUE,10/4/1993,,97316,510 U.S. 805,FALSE
127470,TRUE,TRUE,2/24/2003,,111823,537 U.S. 1214,FALSE
115597,TRUE,TRUE,12/6/1993,,99956,510 U.S. 1010,FALSE
127477,TRUE,TRUE,2/24/2003,,111830,537 U.S. 1215,FALSE
115596,TRUE,TRUE,12/6/1993,,99955,510 U.S. 1010,FALSE
114225,TRUE,TRUE,10/4/1993,,98584,510 U.S. 902,FALSE
127476,TRUE,TRUE,2/24/2003,,111829,537 U.S. 1215,FALSE
118804,TRUE,TRUE,3/18/2002,,103157,535 U.S. 936,FALSE
118805,TRUE,TRUE,3/18/2002,,103158,535 U.S. 936,FALSE
118806,TRUE,TRUE,3/18/2002,,103159,535 U.S. 936,FALSE
118807,TRUE,TRUE,3/18/2002,,103160,535 U.S. 936,FALSE
118800,TRUE,TRUE,3/18/2002,,103153,535 U.S. 936,FALSE
118801,TRUE,TRUE,3/18/2002,,103154,535 U.S. 936,FALSE
118802,TRUE,TRUE,3/18/2002,,103155,535 U.S. 936,FALSE
118803,TRUE,TRUE,3/18/2002,,103156,535 U.S. 936,FALSE
127474,TRUE,TRUE,2/24/2003,,111827,537 U.S. 1215,FALSE
118808,TRUE,TRUE,3/18/2002,,103161,535 U.S. 937,FALSE
118809,TRUE,TRUE,3/18/2002,,103162,535 U.S. 937,FALSE
144471,TRUE,TRUE,5/2/2005,,128823,544 U.S. 1022,FALSE
111335,TRUE,TRUE,1/7/1985,,95694,469 U.S. 1115,FALSE
94543,TRUE,TRUE,11/30/1896,White,78924,164 U.S. 294,FALSE
94544,TRUE,TRUE,11/30/1896,Shiras After Stating the Case,78925,164 U.S. 301,FALSE
94549,TRUE,TRUE,11/30/1896,Shiras After Stating the Case,78930,164 U.S. 338,FALSE
129708,TRUE,TRUE,5/19/2003,,114061,538 U.S. 1039,FALSE
137955,TRUE,TRUE,10/4/2004,,122308,543 U.S. 817,FALSE
111334,TRUE,TRUE,2/25/1985,,95693,469 U.S. 1090,FALSE
2784695,TRUE,TRUE,3/9/2015,,2757470,,FALSE
143179,TRUE,TRUE,3/21/2005,,127531,544 U.S. 922,FALSE
2784697,TRUE,TRUE,3/9/2015,,2757472,,FALSE
133275,TRUE,TRUE,10/14/2003,,117628,540 U.S. 963,FALSE
143174,TRUE,TRUE,3/21/2005,,127526,544 U.S. 922,FALSE
143175,TRUE,TRUE,3/21/2005,,127527,544 U.S. 922,FALSE
143176,TRUE,TRUE,3/21/2005,,127528,544 U.S. 922,FALSE
143177,TRUE,TRUE,3/21/2005,,127529,544 U.S. 922,FALSE
143170,TRUE,TRUE,3/21/2005,,127522,544 U.S. 921,FALSE
143171,TRUE,TRUE,3/21/2005,,127523,544 U.S. 921,FALSE
143172,TRUE,TRUE,3/21/2005,,127524,544 U.S. 922,FALSE
143173,TRUE,TRUE,3/21/2005,,127525,544 U.S. 922,FALSE
129189,TRUE,TRUE,4/28/2003,,113542,538 U.S. 999,FALSE
129188,TRUE,TRUE,4/28/2003,,113541,538 U.S. 999,FALSE
142421,TRUE,TRUE,2/22/2005,,126773,543 U.S. 1162,FALSE
129181,TRUE,TRUE,4/28/2003,,113534,538 U.S. 998,FALSE
129180,TRUE,TRUE,4/28/2003,,113533,538 U.S. 998,FALSE
129182,TRUE,TRUE,4/28/2003,,113535,538 U.S. 998,FALSE
129185,TRUE,TRUE,4/28/2003,,113538,538 U.S. 999,FALSE
129184,TRUE,TRUE,4/28/2003,,113537,538 U.S. 999,FALSE
129187,TRUE,TRUE,4/28/2003,,113540,538 U.S. 999,FALSE
137950,TRUE,TRUE,10/4/2004,,122303,543 U.S. 817,FALSE
111337,TRUE,TRUE,1/7/1985,,95696,469 U.S. 1122,FALSE
97023,TRUE,TRUE,5/3/1909,White,81406,213 U.S. 366,FALSE
137953,TRUE,TRUE,10/4/2004,,122306,543 U.S. 817,FALSE
132341,TRUE,TRUE,10/6/2003,,116694,540 U.S. 891,FALSE
1490003,TRUE,TRUE,6/26/2006,,1462774,548 U.S. 918,FALSE
