citing_opinion_id,cited_opinion_id
100515,96546
103516,96546
103628,96546
96194,89370
98339,89372
90054,89373
92474,89373
91987,89378
93431,89378
97255,89378
98509,89378
101705,89378
94215,89379
96972,89379
94475,88390
93389,88398
97645,97159
98238,97158
98474,97158
98072,97153
92824,88021
100418,88027
96127,88025
99610,88025
95948,95799
100300,95798
96268,95792
97616,95792
98100,95792
98758,95792
98779,95792
99230,95792
99118,95792
104577,95792
101916,101356
1236479,101357
92563,91077
94762,91077
95487,91077
95502,91077
97562,91077
92632,90312
91785,90312
93890,90312
101282,90312
96321,90314
96701,90314
97178,96132
90832,90319
85110,2518368
92399,87652
93087,87652
94021,87652
95291,94547
100513,94546
98758,98593
99112,98593
99727,97938
98314,97934
100014,97934
99686,97934
89352,87845
93928,87845
93940,87845
96127,87845
99302,87845
99819,87845
105090,87845
97516,97021
97424,97021
97568,97021
98196,97021
99246,97021
100199,97021
100632,97021
101085,97021
101196,97021
103508,97021
93824,92262
95773,92262
92579,92263
92892,92260
92590,92260
92518,92267
2000002,2000006
108365,107897
108437,107897
108719,107897
108827,107897
108828,107897
109667,107897
108365,107896
108437,107896
108719,107896
108827,107896
108828,107896
112717,107896
809121,107896
93718,92884
94335,92884
102083,92884
1087847,92884
94533,93172
97945,93172
93190,92881
95983,92881
96712,92881
94731,92889
101878,92889
93752,93135
97896,93135
96875,93135
98409,93135
98408,93135
98188,98109
99649,98109
99638,98109
101762,98109
105304,98109
98972,98108
99396,98108
100713,98108
99241,98107
100170,98107
2516064,98106
98425,98101
99109,98101
99983,98101
100901,98100
102162,98100
102897,98100
97725,97150
98285,97150
98302,97150
98655,97150
98231,97150
98890,97150
99031,97150
99103,97150
99104,97150
99844,97150
100817,97150
101642,97150
102143,97150
102612,97150
102963,97150
105077,97150
105210,97150
2621061,97150
2620707,97150
102078,99857
98744,98641
100896,98641
106088,105634
107316,105634
93378,91950
94274,91950
94282,91950
95888,91950
105384,91950
2421008,91950
1974326,88026
92708,88026
100360,88026
100881,88026
108170,108104
108838,108104
100499,100131
100493,100131
101293,100131
93627,92601
100593,100135
100592,100134
104297,103709
93929,91213
94862,91213
97801,91213
98108,91213
97822,91213
97821,91213
98746,91213
103169,91213
2516064,91213
1964908,91214
99738,91214
92072,91215
91287,91215
92028,91215
91430,91215
92260,91215
93032,91215
92605,91215
93559,91215
92371,91215
93614,91215
93762,91215
103941,91215
99827,94989
1508752,95790
95884,95790
99071,95790
99650,95790
98235,94988
98206,94988
98883,94988
93073,92745
93076,92745
94069,92745
93677,92745
93490,92745
94758,92745
93009,92740
95534,92740
97590,92740
91710,87299
89314,87299
92427,87299
92428,87298
98798,87298
108829,1087663
97573,1087661
108868,108849
110021,108849
111437,108849
93111,89949
94404,89949
2620983,89949
91163,89943
94324,89944
94381,87123
91640,87120
92015,87120
94381,87120
94377,87128
2381647,2381728
99121,98975
99224,98975
92596,86653
91450,86650
91225,86650
89570,89495
96989,89495
97855,89495
94777,89499
88854,88720
101249,88720
111187,88722
100811,88725
97901,89234
1279722,96439
96857,96433
97598,96433
97401,96431
99708,96431
98075,96436
98653,96435
2620695,96435
104822,94367
100513,94366
95085,90871
94201,90879
97715,90879
91960,90878
93087,90297
2516064,90297
94665,90293
99924,99523
101705,99523
102503,99529
103246,99529
103966,99529
106009,99529
94024,93559
98162,97470
101396,97470
108764,97470
99507,97478
97168,90122
99400,90122
91215,90121
94680,90124
100139,90124
93652,90129
94636,90129
99133,95187
99990,99645
95535,91348
92260,91344
91527,91344
97855,96989
91603,91342
91785,91342
93099,91455
99256,91455
101719,91450
94624,91453
92533,91458
91588,91459
92046,91459
93277,91459
93393,91459
94135,91459
95291,91459
99082,91459
108546,1087934
95924,92835
1087921,1087939
95890,91986
97222,91986
97308,91986
98246,91986
99171,91986
102963,91986
101705,91987
92814,91985
93211,91985
94074,91985
94792,91985
95890,91985
96760,91985
96864,91985
97150,91985
98655,91985
98231,91985
99196,91985
99040,91985
100245,91985
100155,91985
100981,91985
102857,91985
106846,91985
101215,1119394
89641,89532
91587,89532
93059,89532
95789,93582
98680,93586
92925,92187
97392,92187
102872,92187
93270,92186
93224,92186
94570,92186
104187,92186
108745,92186
94530,92185
93488,92182
92457,92181
92431,92181
92701,92181
93755,92181
93648,92180
93646,92180
98853,98602
99592,98602
100138,98602
105132,98602
85252,85253
85253,85252
99617,2421163
110229,2421163
107448,99380
100704,99958
100630,99951
109337,99951
101318,99952
101585,99952
101848,99952
102809,99952
109900,99952
108838,106661
109727,106661
103306,102751
103197,102754
103880,102754
106531,102754
103645,103348
104304,103348
98802,98422
107695,107133
107505,107133
107789,107133
94202,88527
1087866,88527
93734,88525
100364,85352
92814,88291
95771,88291
95973,88291
98872,88291
99983,88291
99783,88291
101749,88291
104463,88291
104699,88291
105060,88291
2620990,88291
92201,88295
1744922,86263
90168,86263
86297,86262
92751,86262
94155,86262
94470,86262
95746,86262
96126,86262
2516298,86262
86263,86261
108647,103931
111244,103931
104002,103939
104720,103939
108136,103939
112839,103939
2365229,103939
95953,95729
95954,95729
92942,86846
100581,86849
2403653,86849
92680,88560
92308,92269
93372,92269
93126,92269
93928,92269
97551,92269
97150,92269
99844,92269
102612,92269
112167,92269
2503240,92269
1320090,94913
95620,94910
95613,94910
97296,94910
94538,92885
98280,92885
98125,92885
92509,88886
92238,88886
92719,88886
89171,88880
94831,88889
95222,88889
95659,88889
97614,88889
102894,88889
105210,88889
97195,96669
98571,96669
100595,96669
1087974,96666
97515,97393
98412,97393
98585,97393
100798,97393
103757,97395
98475,2512110
98490,97534
99258,97534
100856,97534
99136,98887
97830,97531
97702,97531
97922,97531
98160,97531
101533,97531
98889,98888
98890,98888
94570,94130
94726,94130
94833,94130
103129,94130
1087768,94130
94490,94135
97032,94135
97755,94135
99488,94135
103583,94135
94891,94138
96497,94138
97903,94138
98331,94138
101850,94139
99893,90620
105837,90620
91607,90621
92168,90625
93807,90625
94152,90625
96380,90625
100681,90625
100934,99286
102409,99286
100603,99750
100805,99750
100662,99750
101429,99750
91032,85659
98774,95662
100218,95662
95892,95660
95792,95660
96435,95660
96587,95660
96487,95660
97616,95660
97123,95660
98275,95660
99059,95660
99566,95660
99983,95660
100139,95660
100778,95660
101495,95660
102112,95660
2620997,95660
96829,95664
98123,95664
97881,95669
99705,95669
85889,85658
85888,85658
91676,85658
93762,92572
94116,92570
100077,92577
1090859,1088087
1088096,1088084
1090834,1088082
1088088,1088081
1088081,1088088
92738,92395
93559,92395
97755,92395
94095,92392
94855,92392
97550,92392
100937,92392
102409,92392
93433,92391
94560,92391
96053,93627
94300,93623
91130,90589
93408,93137
94492,93137
94664,93137
94936,93137
96304,93137
91897,90588
92353,90588
92748,90588
93099,90588
1216059,93132
93743,93132
101916,101122
84873,2419163
94121,91725
105369,105304
107744,105304
109426,105304
111374,105304
108079,2764186
108191,2764186
92019,86449
86998,86449
100727,86449
91511,86443
94133,86443
2381329,86443
104485,104072
103242,102655
108719,108437
109263,108437
109667,108437
99458,99440
100310,99440
100022,99440
101916,99440
104304,99440
91150,89040
108757,108190
108745,108190
108881,108190
110469,108190
91079,89045
95694,89045
92002,90584
103249,103017
104305,103017
106392,103017
106251,103017
106951,103017
110020,103017
112040,103017
89617,85937
92821,85937
93067,85934
93825,85932
97407,85932
98927,85932
99535,85932
103894,103018
104778,103018
111599,111357
112015,111357
95276,88315
100911,88315
103732,88315
1087821,88315
90168,88313
92672,88313
101625,2483562
100521,99469
101016,99469
100636,100096
111187,100097
100752,100092
100128,100093
101615,100091
91225,90422
2481231,90422
91896,90423
92700,90423
92124,90423
92893,90423
93652,90423
94357,90423
99003,90423
100602,90423
91130,90421
91787,90421
90923,90427
90901,90428
91528,90390
91888,90390
102432,90390
1087867,90393
92764,90394
93742,90396
95160,90396
94391,90397
102849,101323
112060,111636
101373,95271
100681,95273
98440,95276
99203,95276
99596,95276
99190,94895
94914,94893
95312,94891
95874,94891
101517,94891
100679,1219087
98425,95858
99036,95858
96147,92807
93401,92800
97645,97001
97977,97001
98360,97003
99190,97003
89474,88247
94941,93437
94301,93437
95039,93437
96115,93437
96375,93437
98111,93437
102538,93437
106316,100856
108664,107803
94913,1320090
94825,87067
95483,87067
95523,87067
101906,87067
95230,94075
94552,94074
95559,94074
97150,94074
98020,94074
100003,94074
100039,94074
101212,94074
104187,94074
104806,94074
97463,94073
98836,94073
103623,94073
1525367,94078
1578327,94078
95890,94078
96864,94078
97553,94078
97150,94078
97130,94078
97922,94078
98302,94078
99196,94078
99031,94078
99040,94078
99103,94078
99648,94078
100155,94078
100654,94078
101412,94078
102612,94078
102809,94078
102972,94078
103296,94078
105828,94078
110563,94078
1087875,94078
103997,102490
93882,93374
1960524,91164
91896,91164
97355,91164
1087974,91164
1959986,91162
1960785,91163
103246,1997113
92126,91290
92653,91290
93406,91290
92883,89231
93879,89231
94202,89231
92287,91835
94625,91835
97318,91835
99601,91835
93528,91830
93519,91831
93615,91831
99208,91831
100328,91831
99677,91838
103146,91838
100487,100259
101313,100259
100859,100242
100859,100241
105172,92645
93682,92315
100911,92315
94148,93378
101631,101121
102091,101121
100374,98221
101935,98221
103497,98221
104792,98221
99281,98222
99654,98222
100185,98222
100177,98223
101490,98223
90767,87216
100268,87219
101913,87219
102083,87219
1087847,87219
1087893,1087887
108351,1087885
1528163,1526773
99458,2621061
99442,2621061
99440,2621061
99676,2621061
100451,2621061
100310,2621061
100022,2621061
101066,2621061
101805,2621061
103646,2621061
104199,2621061
106008,2621061
99783,2621062
100310,2621062
2620990,2621062
104039,103191
105090,103191
106314,103191
91758,91338
92260,91338
92582,91338
93177,91338
94530,92641
1100482,92641
97810,94599
108222,106045
107870,106043
94680,94273
97746,94273
98059,94273
98661,94273
98059,97746
98101,97746
98118,97747
97915,97744
98289,97744
98150,97744
98551,97744
99261,97744
100018,97744
100806,97744
100933,97744
103246,97744
102864,97744
103440,97744
104567,97744
104549,97744
104734,97744
106168,97744
89364,88105
94644,88105
96453,88105
100985,100753
101678,100753
101749,100753
102032,100753
102470,100753
101366,100752
103033,100752
103094,100752
97566,94274
1236479,100759
101389,100759
102205,100759
103170,100759
105172,100759
105232,100759
107662,100759
108348,100759
108542,100759
108616,100759
110926,100759
111342,100759
96144,95458
93112,90218
96485,90218
100245,90218
92675,90215
101723,101114
101583,101114
103094,101114
93443,93406
99705,93406
1446332,94724
94565,94180
1694451,94466
94773,94464
97144,94464
98590,97562
99584,97562
92243,91217
94431,91217
95127,91217
99440,91217
93625,90692
93393,90692
98425,90692
98661,90692
94697,1446230
85889,85811
94161,85816
90805,85819
91502,85819
101679,85818
96170,93274
96496,93274
99106,93274
100330,93274
103371,93274
103985,93274
108525,93274
94130,93272
93947,93272
94833,93272
99985,93272
100403,93272
1087768,93272
1974326,93273
100881,93273
94078,93270
97150,93270
104187,93270
98569,98024
100488,98024
100039,98020
104964,98020
93530,87905
94851,87905
105837,87905
96886,96170
99106,96170
103371,96170
103985,96170
98182,96177
99966,96177
103851,102863
148484,102863
109488,102862
110022,102862
103246,102864
103440,102864
108002,102864
92758,92243
95553,92243
98888,92243
101099,92243
101958,92243
102003,92243
2621059,92243
104421,97220
98114,97223
98903,97223
100207,97223
101433,97223
101027,97223
101381,97223
101545,97223
102457,97223
102361,97223
103956,97223
105203,97223
110439,97223
2382407,97223
98020,97222
98054,97222
98249,97222
98013,97222
98231,97222
99031,97222
102633,97222
104966,97222
106239,97222
97927,97229
100226,97229
102266,97229
102754,102281
103051,102280
99196,99040
99347,99040
99442,99040
100358,99040
100981,99040
101913,99040
102032,99040
103005,99040
104859,99040
95613,95580
108842,104996
91859,90037
99983,99781
100924,99781
102469,99781
110739,99781
1753571,95095
100194,100193
99337,92660
101428,100199
103508,100199
97616,92668
100837,92668
93685,85535
94884,85535
2000006,2000002
103271,1324132
99066,98492
99542,98492
99828,98492
101904,98492
105936,98492
92343,87007
93714,87007
97777,1888440
92895,1213431
92850,92371
94378,92371
92199,86755
93847,86551
97018,86551
100274,86551
93867,86759
92270,88808
91187,88807
91241,88807
94073,88807
98383,88807
95134,88801
91195,88800
92295,88800
98130,88800
99481,88800
104045,88800
101028,96376
94149,89172
96128,89172
91207,89178
99572,89179
94840,94201
95841,94201
2390042,94201
98101,94207
100364,94208
89369,87584
91564,87584
91044,87584
94378,87584
91883,87587
91450,87587
100544,87587
101719,87587
1382061,1383563
99596,99203
100009,99203
100007,99203
100532,99203
100911,99203
103732,99203
105835,99203
100532,99202
101142,99202
103732,99202
102754,99204
99774,99209
99748,99208
96624,95559
97310,95555
97573,95556
99780,95556
98337,95553
103094,95553
98492,90008
93627,90005
91033,90003
92561,85673
95402,94785
96574,94785
95673,94780
98275,94780
100492,94780
92385,91669
92478,91665
94135,91665
95134,91665
100543,91661
97073,94170
103442,102588
103191,102588
103908,102588
91579,87754
99109,97845
99257,97845
98100,97847
98182,97847
99025,97847
100901,97847
102162,97847
93675,92957
94303,92957
103863,2540503
91268,90664
92661,90664
