Abbrev,Name,Count,Jurisdiction,Citation Abbrev,Start Date,End Date,In Use,Last Modified
illappct,Appellate Court of Illinois,73366,State Appellate,Ill. App. Ct.,Unknown,Unknown,Yes,2013-08-14T15:42
ind,Indiana Supreme Court,13462,State Supreme,Ind.,Unknown,Unknown,Yes,2013-08-14T09:46
indctapp,Indiana Court of Appeals,32207,State Appellate,Ind. Ct. App.,Unknown,Unknown,Yes,2014-09-08T13:26
indtc,Indiana Tax Court,596,State Special,Ind. T.C.,Unknown,Unknown,Yes,2014-09-08T13:26
iowa,Supreme Court of Iowa,13033,State Supreme,Iowa,Unknown,Unknown,Yes,2014-08-01T11:44
iowactapp,Court of Appeals of Iowa,8395,State Appellate,Iowa Ct. App.,Unknown,Unknown,Yes,2014-08-01T11:44
kan,Supreme Court of Kansas,10944,State Supreme,Kan.,Unknown,Unknown,Yes,2014-08-01T12:03
kanctapp,Court of Appeals of Kansas,8151,State Appellate,Kan. Ct. App.,Unknown,Unknown,Yes,2014-08-01T12:03
kanag,Kansas Attorney General Reports,0,State Attorney General,Kan. Att'y Gen.,Unknown,Unknown,Yes,2016-05-18T13:06
ky,Kentucky Supreme Court,3060,State Supreme,Ky.,Unknown,Unknown,Yes,2014-08-08T10:26
kyctapp,Court of Appeals of Kentucky,4899,State Appellate,Ky. Ct. App.,Unknown,Unknown,Yes,2013-09-09T09:45
la,Supreme Court of Louisiana,26713,State Supreme,La.,Unknown,Unknown,Yes,2014-07-17T07:08
lactapp,Louisiana Court of Appeal,46740,State Appellate,La. Ct. App.,Unknown,Unknown,Yes,2013-10-16T11:52
laag,Louisiana Attorney General Reports,0,State Attorney General,La. Att'y Gen.,Unknown,Unknown,Yes,2016-05-18T13:06
me,Supreme Judicial Court of Maine,8157,State Supreme,Me.,Unknown,Unknown,Yes,2014-06-23T09:59
md,Court of Appeals of Maryland,14085,State Supreme,Md.,Unknown,Unknown,Yes,2014-06-27T13:56
